country_iso3,date,event_cnt,tone_mean,polarity_mean,hub_events,tone_norm,polarity_norm,event_cnt_norm,hub_events_norm,simple_score,simple_score_norm,event_cnt_z
HKG,2016-01-29,3,,2515.0,3,0,0.056764320859477274,0.0013577732518669382,0.001358695652173913,0.0008148484311815579,0.0013580807186359296,-0.2663828347971365
HKG,2016-01-30,96,,2437.4444444444443,96,0,0.055013868199441256,0.06449422946367957,0.06453804347826086,0.038705300481124,0.06450883413520665,1.0431333789131214
HKG,2016-01-31,18,,2575.25,18,0,0.058124181826389204,0.011541072640868975,0.01154891304347826,0.0069262116650432425,0.011543686108405402,-0.05517054226322395
HKG,2016-02-01,8,,3973.5,8,0,0.08968311289667313,0.0047522063815342835,0.004755434782608696,0.0028519695091354528,0.004753282515225754,-0.19597873728583232
HKG,2016-02-02,52,,2583.818181818182,52,0,0.058317568316214104,0.034623217922606926,0.034646739130434784,0.02077863499512973,0.03463105832521621,0.42357732081364446
HKG,2016-02-03,28,,1125.5,28,0,0.025402879971110008,0.018329938900203666,0.018342391304347828,0.011000453820951033,0.018334089701585052,0.08563765275938441
HKG,2016-02-04,12,,2263.0,12,0,0.05107660362027716,0.00746775288526816,0.007472826086956522,0.0044816663714985685,0.007469443952497613,-0.13965545927678896
HKG,2016-02-05,7,,759.0,7,0,0.01713086263711461,0.004073319755600814,0.004076086956521739,0.0024445452935446736,0.004074242155907789,-0.21005955678809315
HKG,2016-02-06,6,,1974.0,6,0,0.04455378504040085,0.0033944331296673455,0.0033967391304347825,0.002037121077953895,0.0033952017965898245,-0.224140376290354
HKG,2016-02-07,1,,,1,0,0.0,0.0,0.0,0.0,0.0,-0.29454447380165816
HKG,2016-02-08,3,,1041.0,3,0,0.02349568907145759,0.0013577732518669382,0.001358695652173913,0.0008148484311815579,0.0013580807186359296,-0.2663828347971365
HKG,2016-02-09,3,,608.0,3,0,0.0137227463548955,0.0013577732518669382,0.001358695652173913,0.0008148484311815579,0.0013580807186359296,-0.2663828347971365
HKG,2016-02-10,6,,683.5,6,0,0.015426804496005055,0.0033944331296673455,0.0033967391304347825,0.002037121077953895,0.0033952017965898245,-0.224140376290354
HKG,2016-02-11,14,,1277.5,14,0,0.028833566559833882,0.008825526137135099,0.008831521739130434,0.005296514802680127,0.008827524671133543,-0.1114938202722673
HKG,2016-02-12,8,,,8,0,0.0,0.0047522063815342835,0.004755434782608696,0.0028519695091354528,0.004753282515225754,-0.19597873728583232
HKG,2016-02-13,1,,,1,0,0.0,0.0,0.0,0.0,0.0,-0.29454447380165816
HKG,2016-02-14,2,,,2,0,0.0,0.0006788866259334691,0.0006793478260869565,0.00040742421559077893,0.0006790403593179648,-0.28046365429939735
HKG,2016-02-15,18,,192.75,18,0,0.00435042657879294,0.011541072640868975,0.01154891304347826,0.0069262116650432425,0.011543686108405402,-0.05517054226322395
HKG,2016-02-16,6,,4948.0,6,0,0.11167787658556404,0.0033944331296673455,0.0033967391304347825,0.002037121077953895,0.0033952017965898245,-0.224140376290354
HKG,2016-02-17,11,,325.0,11,0,0.0073353496140477585,0.006788866259334691,0.006793478260869565,0.00407424215590779,0.006790403593179649,-0.1537362787790498
HKG,2016-02-18,5,,,5,0,0.0,0.0027155465037338763,0.002717391304347826,0.0016296968623631157,0.0027161614372718593,-0.23822119579261483
